#         Ka2 Ka1 Kb La2 La1 Lb1 Lb2 K LIII LII LI
Rb 37 13335.8 13395.3 14961.3	0 0 0 0 15203 1803 1863 2064
Sr 38 14097.9 14165.0 15835.7	0 0 0 0 16108 1937 2004 2212
Y  39 14882.9 14958.4 16737.8	0 0 0 0 17040 2096 2171 2387
Zr 40 15690.9 15775.1 17667.8	2039.9 2042.4 2124.4 2219.4 17999 2223 2308 2533
Nb 41 16521.0 16115.1 18622.5	2163.0 2165.9 2257.4 2367.0 18989 2371 2467 2700
Mo 42 17374.3 17479.3 19608.3   2289.9 2293.2 2394.8 2518.3 20003 2542 2630 2869
Tc 43 18250.8 18367.1 20619.0   0 0 0 0 21053 2679 2800 3050
Ru 44 19150.4 19279.2 21656.8   2554.3 2558.6 2683.2 2836.0 22120 2838 2969 3228
Rh 45 20073.7 20216.1 22723.6   2692.1 2696.7 2834.4 3001.3 23226 2994 3140 3405
Pb 46 21020.1 21177.1 23818.7   2833.3 2838.6 2990.2 3171.8 24353 3180 3339 3615
Ag 47 21990.3 22162.9 24942.4   2978.2 2984.3 3150.9 3347.8 25521 3374 3548 3829
Cd 48 22984.1 23173.6 26095.5   3126.9 3133.7 3316.6 3528.1 26714 3540 3732 4020
In 49 24002.0 24209.7 27275.9   3279.3 3286.9 3487.2 3713.8 27923 3731 3930 4227
Sn 50 25044.0 25271.3 28486.0   3435.4 3444.0 3662.8 3904.9 29192 3910 4140 4446
Sb 51 26110.8 26359.1 29725.6 3595.3 3604.7 3843.6 4100.8 30492 4136 4392 4709
Te 52 27201.7 27472.3 30995.7 3758.8 3769.6 4029.6 4301.7 31814 4346 4622 5954
I  53 28317.2 28612.0 32294.7 3269.0 3937.7 4220.7 4507.5 33167 4558 4856 5188
Xe 54 29458.0 29779.0 33624.0 4097.0 4109.9 4417.0 4719.0 34583 4779 5101 5451
Cs 55 30625.1 30972.8 34986.9 4272.2 4286.5 4619.8 4935.9 35968 5013 5361 5707
Ba 56 31817.1 32193.6 36378.2 4450.9 4466.3 4827.5 5156.5 37411 5249 5630 5951
La 57 33034.1 33441.8 37801.0 4634.2 4651.0 5042.1 5383.5 38938 5489 5903 6265
Ce 58 34278.9 34719.7 39257.3 4823.5 4840.2 5262.2 5613.4 40450 5727 6170 6557
Pr 59 35550.2 36026.3 40748.2 5013.5 5033.7 5488.9 5850.0 41999 5966 6447 6838
Nd 60 36847.4 37361.0 42271.3 5207.7 5230.4 5721.6 6089.4 43578 6214 6729 7135
Pm 61 38171.2 38724.7 43826.0 5407.8 5432.5 5961.0 6339.0 45199 6458 7021 7431
Sm 62 39522.4 40118.1 45413.0 5608.4 5636.1 6205.1 6587.0 46856 6719 7317 7743
Eu 63 40901.9 41542.2 47037.9 5816.6 5845.7 6456.4 6843.2 48524 6982 7625 8060
Gd 64 42308.9 42996.2 48697 6025.0 6057.2 6713.2 7102.8 50235 7249 7943 8384
Tb 65 43744.1 44481.6 50382 6238.0 6272.8 6978.0 7366.7 52005 7518 8259 8714
Dy 66 45207.8 45998.4 52119 6457.7 6495.2 7247.7 7635.7 53787 7793 8588 9054
Ho 67 46699.7 47546.7 53877 6679.5 6719.8 7525.3 7911.0 55621 8072 8919 9397
Er 68 48221.1 49127.7 55681 6905.0 6948.7 7810.9 8189.0 57478 8360 9572 9755 
Tm 69 49772.6 50741.6 57517 7133.1 7179.9 8101.0 8468.0 59349 8658 9621 10103
Yb 70 51354.0 52388.9 59370 7367.3 7415.6 8401.8 8758.8 61316 8947 9986 10494
Lu 71 52965.0 54069.8 61283 7604.9 7655.5 8709.0 9048.9 63320 9246 10353 10874
Hf 72 54611.4 55790.2 63234 7844.6 7899.0 9022.7 9347.3 65321 9565 10752 11285 
Ta 73 56227.0 57352.0 65223 8087.9 8146.1 9343.1 9651.8 67417 9880 11143 11687
W  74 57981.7 59318.2 67244.3 8335.2 8397.6 9672.4 9961.5 69496 10197 11539 12096
Re 75 59717.7 61140.3 69310 8586.2 8652.5 10010.0 10275.2 71623 10528 11961 12522
Os 76 61486.7 63000.5 71413 8841.0 8911.7 10355.3 10598.5 73886 10858 12382 12973
Ir 77 63286.7 64895.6 73560.8 9099.5 9175.1 10708.3 10920.3 76108 11205 12821 13413
Pt 78 65122.0 66832.0 75748 9361.8 9442.3 11070.7 11250.5 78369 11549 13263 13866
Au 79 66989.5 68803.7 77984 9628.0 9713.3 11442.3 11584.7 80821 11913 13733 14353
Hg 80 68895.0 70819.0 80253 9897.6 9988.8 11822.6 11924.1 83097 12278 14122 14843
Tl 81 70831.9 72871.5 82576 10172.8 10268.5 12213.3 12271.5 85681 12650 14697 15346
Pb 82 72804.2 74969.4 84936 10449.5 10551.5 12613.7 12622.6 88054 13030 15203 15864
Bi 83 74814.8 77107.9 87343 10730.9 10838.8 13023.5 12979.9 90562 13404 15712 16389
Po 84 76862.0 79290.0 89800 11015.8 11130.8 13447.0 13340.4 93148 13807 16232 16933
At 85 78950   81520   92300 11304.8 11426.8 13876.0 0 95737 14207 16784 17482 
Rn 86 81070   83780   94870 11597.9 11727.0 14316.0 14080.0 98475 14606 17333 18052
Fr 87 83230   86100   97470 11895.0 12031.3 14770.0 14450.0 101126 15016 17893 18632
Ra 88 85430   88470  100130 12196.2 12339.7 15235.8 14841.4 103923 15437 18474 19234
Ac 89 87670   90884  102850 12500.8 12652.0 15713.0 0 106695 15856 19074 19843
Th 90 89953   93350  105609 12809.6 12968.7 16202.2 15623.7 109814 16274 19676 20455
Pa 91 92287   95868  108427 13122.2 13290.7 16702.0 16024.0 112403 16716 20305 21103
U  92 94665   98439  111300 13438.8 13614.7 17220.0 16428.3 115009 17158 20946 21762

